a,delta,beta,objective,alpha,time,car
0,1.2467792408042304,7.628639806182657,2.927677723370235,2282.1957806237233,1.0,0 days 00:22:53.204931000,58
1,2.263068514727168,1.1555752771389445,3.4594993183117158,2800.8349571167723,0.01,0 days 00:06:03.334148000,58
2,1.5051752456796463,7.999449061985907,0.5085111979372446,2674.859934601297,0.06205263157894737,0 days 00:06:03.242305000,58
3,2.3296900234065565,2.2841953481638044,3.9055622353199806,2560.860197127337,0.11410526315789475,0 days 00:06:04.155197000,58
4,1.3798512758603323,5.43821445009624,2.6436146841569705,2464.205262304414,0.16615789473684212,0 days 00:06:03.221581000,58
5,2.8857469527787383,7.529770980288576,1.4952379091031383,2388.981482854737,0.2182105263157895,0 days 00:06:03.529840000,58
6,2.4222500849465365,4.711285692677227,1.4064690142019554,2336.8212355166474,0.2702631578947369,0 days 00:06:05.290126000,58
7,2.9255716403589886,3.0403032759335806,3.2221117188553197,2306.291325005393,0.3223157894736842,0 days 00:06:03.225309000,58
8,0.9862523333309434,3.4074110992927635,2.8676046303762237,2293.346749691531,0.3743684210526316,0 days 00:06:04.364351000,58
9,2.0121824357470692,1.6793726093280863,1.5998124522707908,2292.687371091094,0.426421052631579,0 days 00:06:02.305558000,58
10,1.473528962656525,1.0516577201137969,2.42163857508188,2299.2039416871944,0.4784736842105263,0 days 00:06:05.878622000,58
11,1.2934259545615403,4.103123687788817,3.6312833305569527,2308.823220842021,0.5305263157894737,0 days 00:06:03.896625000,58
12,2.1988652809903604,4.6612538059881485,1.471194350057109,2318.69584331742,0.5825789473684211,0 days 00:06:03.157860000,58
13,2.363107757583589,1.6168267431638483,1.1260971559572832,2327.027212873621,0.6346315789473684,0 days 00:06:04.135940000,58
14,1.6882460649214064,5.436150733060581,0.8009693488027849,2332.801815827657,0.6866842105263158,0 days 00:06:04.639003000,58
15,2.553547716245625,2.6510969444883,3.5497120051300644,2335.518538114023,0.7387368421052632,0 days 00:06:03.180570000,58
16,1.3409954378690636,6.686418286525245,2.6666698019871515,2334.988755059689,0.7907894736842106,0 days 00:06:04.999797000,58
17,1.9950894747136865,1.7782163329646157,3.679552692747164,2331.220475847435,0.842842105263158,0 days 00:06:04.851058000,58
18,2.106610100601161,4.428761459565202,3.53211794566983,2324.387593540056,0.8948947368421053,0 days 00:06:03.937325000,58
19,1.1300059757140868,1.302389057271312,2.9455703627371856,2314.857023184912,0.9469473684210526,0 days 00:06:04.672622000,58
20,1.6244990170687086,6.37814981976262,2.351904525085149,2303.2190124889958,0.9990000000000001,0 days 00:06:03.346907000,58
21,1.2467792408042304,7.628639806182657,2.927677723370235,2282.1957806237233,1.0,0 days 00:22:53.204931000,58
22,2.263068514727168,1.1555752771389445,3.4594993183117158,2800.8349571167723,0.01,0 days 00:06:03.334148000,58
23,1.5051752456796463,7.999449061985907,0.5085111979372446,2674.859934601297,0.06205263157894737,0 days 00:06:03.242305000,58
24,2.3296900234065565,2.2841953481638044,3.9055622353199806,2560.860197127337,0.11410526315789475,0 days 00:06:04.155197000,58
25,1.3798512758603323,5.43821445009624,2.6436146841569705,2464.205262304414,0.16615789473684212,0 days 00:06:03.221581000,58
26,2.8857469527787383,7.529770980288576,1.4952379091031383,2388.981482854737,0.2182105263157895,0 days 00:06:03.529840000,58
27,2.4222500849465365,4.711285692677227,1.4064690142019554,2336.8212355166474,0.2702631578947369,0 days 00:06:05.290126000,58
28,2.9255716403589886,3.0403032759335806,3.2221117188553197,2306.291325005393,0.3223157894736842,0 days 00:06:03.225309000,58
29,0.9862523333309434,3.4074110992927635,2.8676046303762237,2293.346749691531,0.3743684210526316,0 days 00:06:04.364351000,58
30,2.0121824357470692,1.6793726093280863,1.5998124522707908,2292.687371091094,0.426421052631579,0 days 00:06:02.305558000,58
31,1.473528962656525,1.0516577201137969,2.42163857508188,2299.2039416871944,0.4784736842105263,0 days 00:06:05.878622000,58
32,1.2934259545615403,4.103123687788817,3.6312833305569527,2308.823220842021,0.5305263157894737,0 days 00:06:03.896625000,58
33,2.1988652809903604,4.6612538059881485,1.471194350057109,2318.69584331742,0.5825789473684211,0 days 00:06:03.157860000,58
34,2.363107757583589,1.6168267431638483,1.1260971559572832,2327.027212873621,0.6346315789473684,0 days 00:06:04.135940000,58
35,1.6882460649214064,5.436150733060581,0.8009693488027849,2332.801815827657,0.6866842105263158,0 days 00:06:04.639003000,58
36,2.553547716245625,2.6510969444883,3.5497120051300644,2335.518538114023,0.7387368421052632,0 days 00:06:03.180570000,58
37,1.3409954378690636,6.686418286525245,2.6666698019871515,2334.988755059689,0.7907894736842106,0 days 00:06:04.999797000,58
38,1.9950894747136865,1.7782163329646157,3.679552692747164,2331.220475847435,0.842842105263158,0 days 00:06:04.851058000,58
39,2.106610100601161,4.428761459565202,3.53211794566983,2324.387593540056,0.8948947368421053,0 days 00:06:03.937325000,58
40,1.1300059757140868,1.302389057271312,2.9455703627371856,2314.857023184912,0.9469473684210526,0 days 00:06:04.672622000,58
41,1.6244990170687086,6.37814981976262,2.351904525085149,2303.2190124889958,0.9990000000000001,0 days 00:06:03.346907000,58
42,0.4566541499525086,4.310430181224602,3.7743766275969124,2204.5241650424937,1.0,0 days 00:22:59.508460000,64
43,0.6450980462333206,1.902332017015245,3.7654640797549557,2670.498510004628,0.01,0 days 00:06:06.725621000,64
44,1.5414527073590794,7.717680859646789,0.9329870070127356,2505.4008798290633,0.06205263157894737,0 days 00:06:05.170318000,64
45,0.8973134979500919,3.094076886927008,1.615753945357907,2347.96902780586,0.11410526315789475,0 days 00:06:06.015242000,64
46,2.0479267259561085,4.8702461052101125,0.7223230204363036,2204.924318998963,0.16615789473684212,0 days 00:06:06.056048000,64
47,0.5833321558417044,6.969293530252829,2.254667150202528,2082.786215007355,0.2182105263157895,0 days 00:06:05.634099000,64
